"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","hgnc_symbol","entrezgene_id"
"1","ENSG00000254245",1073.36971574866,-2.89163780923959,0.115172217962864,3.03497897877705e-140,3.98128542435973e-136,"PCDHGA3",56112
"2","ENSG00000016082",2377.61820937311,-1.09626129790375,0.0830590039790597,4.10614979409063e-41,2.69322364994404e-37,"ISL1",3670
"3","ENSG00000058668",3412.78380181926,-0.99830104846705,0.0854831635162827,8.2305367389462e-33,3.59893936471654e-29,"ATP2B4",493
"4","ENSG00000181541",6456.92186586519,0.747385503406798,0.0648411846358444,5.63485323994381e-32,1.84795012003957e-28,"MAB21L2",10586
"5","ENSG00000115828",461.588470135742,-1.80191937491608,0.16294275088631,9.17318935179922e-30,2.40667795833804e-26,"QPCT",25797
"6","ENSG00000120675",921.539904769418,-1.87185777354461,0.170490297574754,2.28788195124222e-29,5.00207257273257e-26,"DNAJC15",29103
"7","ENSG00000081842",487.45910233518,-2.31234717901256,0.212518131421593,8.05066193067655e-29,1.50869404580879e-25,"PCDHA6",56142
"8","ENSG00000196358",3373.76738211306,-0.841131633467639,0.080041906383895,4.07491139449472e-27,6.68183595912272e-24,"NTNG2",84628
"9","ENSG00000173210",2577.11364167836,-0.836241709279926,0.0828019362209653,2.87171977495178e-25,4.18569111197971e-22,"ABLIM3",22885
"10","ENSG00000196132",5108.30582907963,0.770536795813871,0.076656106424543,9.33809286069128e-25,1.22497102146548e-21,"MYT1",4661
"11","ENSG00000144057",7088.00292841318,0.629550129693144,0.0653383954949371,2.64709390195129e-23,3.156779800527e-20,"ST6GAL2",84620
"12","ENSG00000175928",16103.0611055974,0.37855736136164,0.0396921337277183,1.01762857019922e-22,1.11243763198944e-19,"LRRN1",57633
"13","ENSG00000178860",2152.18145442624,-0.859028488973754,0.0918371132730838,4.3719353838644e-22,4.41161910504102e-19,"MSC",9242
"14","ENSG00000185518",11715.4175998061,-0.532496949658428,0.0574013156016288,1.13115092427558e-21,1.05988841604622e-18,"SV2B",9899
"15","ENSG00000092820",2300.40575376587,-0.946150635968935,0.104179618804088,5.40156908194009e-21,4.528898484398e-18,"EZR",7430
"16","ENSG00000183778",668.632810249974,-1.49227602082502,0.164493648932401,5.52388898844092e-21,4.528898484398e-18,"B3GALT5",10317
